"id","badestellen_id","date","sicht","eco","ente","temp","algen","cb","sicht_txt","eco_txt","ente_txt","temp_txt","algen_txt","cb_txt","bsl","state","wasserqualitaet","wasserqualitaet_txt"
319,344343,"2018-08-16",90,15,15,22.8,0,300,"90","<15","<15","22,8","","<300","B309","gruen",1,1
320,344348,"2018-08-16",120,15,15,23,0,360,"120","<15","<15","23","","360","B311","gruen",1,1
321,344344,"2018-08-16",110,15,15,23.1,0,360,"110","<15","<15","23,1","","360","B314","gruen",1,1
322,344318,"2018-08-17",90,30,15,24.6,0,300,"90","30","15","24,6","","<300","B910","gruen",1,1
323,344320,"2018-08-20",40,15,61,24.4,,300,"40","<15","61","24,4","A","<300","B225","gruen_a",1,1
324,344321,"2018-08-20",70,15,15,23.7,,300,"70","<15","<15","23,7","A","300","B105","gruen_a",1,1
325,344322,"2018-08-20",80,15,15,24.1,,360,"80","<15","<15","24,1","A","360","B118","gruen_a",1,1
326,344323,"2018-08-20",25,15,61,24.4,,720,"25","<15","61","24,4","A","720","B230","gelb_a",3,3
327,344326,"2018-08-20",40,15,30,24.2,,300,"40","<15","30","24,2","A","<300","B224","gruen_a",1,1
328,344325,"2018-08-20",60,15,30,24.1,,300,"60","15","30","24,1","A","<300","B226","gruen_a",1,1
329,344328,"2018-08-20",110,15,15,24,0,300,"110","15","<15","24","","<300","B112","gruen",1,1
330,344329,"2018-08-20",60,15,15,24.3,,300,"60","<15","15","24,3","A","<300","B116","gruen_a",1,1
331,344331,"2018-08-20",30,15,94,24.4,,360,"30","15","94","24,4","A","360","B215","gelb_a",3,3
332,344332,"2018-08-20",40,15,45,24.2,,300,"40","<15","45","24,2","A","<300","B220","gruen_a",1,1
333,344333,"2018-08-20",60,15,30,23.9,,300,"60","<15","30","23,9","A","<300","B227","gruen_a",1,1
334,344334,"2018-08-21",110,15,15,23.2,0,300,"110","<15","<15","23,2","","<300","B920","gruen",1,1
335,344352,"2018-08-21",100,30,15,22.6,,300,"100","30","<15","22,6","A","<300","B922","gruen_a",1,1
336,344336,"2018-08-21",130,46,30,23.7,0,2300,"130","46","30","23,7","","2300","B926","gruen",1,1
337,344353,"2018-08-21",110,15,15,23.1,,360,"110","<15","<15","23,1","A","360","B915","gruen_a",1,1
338,344350,"2018-08-22",100,15,15,24,0,2300,">100","15","<15","24","","2300","B332","gruen",1,1
339,344340,"2018-08-22",300,15,15,23.1,0,360,">300","<15","<15","23,1","","360","B961","gruen",1,1
340,344338,"2018-08-22",300,15,15,22.9,0,360,">300","<15","15","22,9","","360","B962","gruen",1,1
341,344359,"2018-08-22",50,15,15,24.3,,2300,"50","15","<15","24,3","A","2300","B330","gruen_a",1,1
342,468922,"2018-08-23",80,15,15,22.9,0,300,"80","<15","<15","22,9","","<300","B930","gruen",1,1
